MT093,Creag Meagaidh - An Cearcallach,,,,993,NN422853,,M030;
MT062,Creag Meagaidh - Meall Coire Choille-rais,,,,1028,NN432862,,M030;
MT037,Creag Meagaidh - Puist Coire Ardair,,,,1071,NN437872,,M030;
MT081,Creag Meagaidh - Sron a'Choire,,,,1001,NN448877,,M030;
MT147,Creag Mhor - Stob nan Clach,,,,956,NN387351,,M030;
MT027,Creise - Clach Leathad,,,,1099,NN240493,,M050;
MT089,Creise - Stob a'Ghlais Choire,,,,996,NN240516,,M050;
MT142,Cruach Ardrain - Stob Garbh,,,,959,NN411221,,M087;
MT020,Derry Cairngorm - Creagan a'Choire Etchachan,,,,1108,NO012996,,M020;
MT101,Derry Cairngorm - Sgurr an Lochan Uaine,,,,983,NO025991,,M020;
MT176,Druim Shionnach West Top,,,,938,NH062082,,M160;
MT125,Garbh Chioch Mhor - Garbh Chioch Bheag,,,,968,NM918959,,M116;
MT063,Geal-Charn - Sgor Iutharn,,,,1028,NN489743,,M081;
MT161,Glas Leathad Mor (Ben Wyvis) - An Cabar,,,,946,NH450665,,M085;
MT191,Glas Leathad Mor (Ben Wyvis) - Glas Leathad Beag [1891: Top of Coire Lochain],,,,928,NH492706,,M085;
MT150,Glas Leathad Mor (Ben Wyvis) - Tom a'Choinnich,,,,954,NH463700,,M085;
MT118,Glas Maol - Little Glas Maol,,,,973,NO175759,,M069;
MT206,Glas Maol - Meall Odhar,,,,922,NO156773,,M069;
MT077,Gleouraich - Craig Coire na Fiar Bhealaich,,,,1006,NH047051,,M097;
MT137,Gulvain South Top,,,,961,NM996864,,M161;
MT138,Ladhar Bheinn - Stob a'Choire Odhair,,,,960,NG830043,,M111;
MT031,Lochnagar - Cuidhe Crom,,,,1083,NO259849,,M021;
MT146,Lochnagar - Little Pap,,,,956,NO265844,,M021;
MT116,Lochnagar - Meall Coire na Saobhaidhe,,,,974,NO242872,,M021;
MT104,Lochnagar - Meikle Pap,,,,980,NO259860,,M021;
MT177,Luinne Bheinn East Top,,,,937,NG872006,,M234;
MT114,Lurg Mhor - Meall Mor,,,,974,NH072405,,M163;
MT036,Mam Sodhail - An Tudair [1891: Saoiter Mor],,,,1074,NH127239,,M014;
MT043,Mam Sodhail - Creag Coire nan Each [Creag a'Chaoruinn],,,,1055,NH113232,,M014;
MT090,Mam Sodhail - Mullach Cadha Rainich,,,,996,NH139246,,M014;
MT057,Mam Sodhail - Sgurr na Lapaich,,,,1036,NH154243,,M014;
MT091,Maoile Lunndaidh - Carn nam Fiaclan,,,,996,NH123454,,M125;
MT168,Meall Buidhe SE Top,,,,942,NM852987,,M222;
MT162,Meall Dearg - Am Bodach,,,,943,NN168580,,M212;
MT178,Meall Glas - Beinn Cheathaich,,,,937,NN444326,,M199;
MT205,Meall Gorm SE Top,,,,922,NH232692,,M215;
MT124,Meall nan Ceapraichean - Ceann Garbh,,,,968,NH259830,,M177;
MT085,Meall nan Tarmachan - Beinn nan Eachan,,,,1000,NN570383,,M089;
MT223,Meall nan Tarmachan - Creag na Caillich,,,,916,NN562377,,M089;
MT064,Meall nan Tarmachan - Meall Garbh,,,,1026,NN578383,,M089;
MT201,Meall nan Tarmachan SE Top [Meall nan Tarmachan South Top],,,,923,NN589385,,M089;
MT195,Mullach an Rathain (Liathach) - Am Fasarinen,,,,927,NG923574,,M108;
MT148,Mullach an Rathain (Liathach) - Northern Pinnacles [Meall Dearg],,,,955,NG913579,,M108;
MT218,Mullach Coire Mhic Fhearchair - Sgurr Dubh,,,,918,NH061729,,M115;
MT103,Mullach Coire Mhic Fhearchair East Top,,,,981,NH056733,,M115;
MT127,Mullach na Dheiragain - Carn na Con Dhu,,,,967,NH072242,,M167;
MT117,Mullach na Dheiragain - Mullach Sithidh [Creag a'Choire Ard],,,,974,NH082264,,M167;
MT221,Mullach nan Coirean SE Top [South Top],,,,917,NN131654,,M236;
MT054,Na Gruagaichean NW Top [North Top],,,,1041,NN201654,,M074;
MT083,Sail Chaorainn - Carn na Coire Mheadhoin (Centre Top),,,,1001,NH134158,,M133;
MT188,Sail Chaorainn - Tigh Mor na Seilge (NNE Top),,,,929,NH140166,,M133;
MT213,Sgiath Chuil - Meall a'Churain,,,,918,NN463325,,M270;
MT186,Sgor Gaibhre - Sgor Choinnich,,,,929,NN443683,,M208;
MT045,Sgor Gaoith - Carn Ban Mor,,,,1052,NN893971,,M036;
MT208,Sgor Gaoith - Geal-charn,,,,920,NH884014,,M036;
MT111,Sgor Gaoith - Meall Buidhe,,,,976,NH891001,,M036;
MT086,Sgor Gaoith - Meall Dubhag,,,,998,NN880955,,M036;
MT018,Sgor Gaoith - Sgoran Dubh Mor,,,,1111,NH905002,,M036;
MT126,Sgor na h-Ulaidh - Stob an Fhuarain,,,,968,NN118523,,M149;
MT050,Sgurr a'Chaorachain - Bidean an Eoin Deirg,,,,1046,NH103443,,M078;
MT123,Sgurr a'Ghreadaidh South Top,,,,970,NG445230,,M185;
MT080,Sgurr a'Mhaim - Sgor an Iubhair,,,,1001,NN165655,,M051;
MT096,Sgurr a'Mhaim - Stob Choire a'Mhail,,,,990,NN163659,,M051;
MT156,Sgurr a'Mhaoraich - Sgurr a'Mhaoraich Beag,,,,948,NG977067,,M104;
MT158,Sgurr Alasdair - Sgurr Sgumain,,,,947,NG448206,,M154;
MT109,Sgurr Alasdair - Sgurr Thearlaich,,,,978,NG451208,,M154;
MT131,Sgurr Choinnich Mor - Sgurr Choinnich Beag,,,,963,NN220710,,M052;
MT173,Sgurr Dubh Mor - Sgurr Dubh na Da Bheinn,,,,938,NG455204,,M228;
MT060,Sgurr Fhuar-thuill - Creag Ghorm a'Bhealaich,,,,1030,NH244435,,M082;
MT070,Sgurr Fuar-thuill - Sgurr na Fearstaig,,,,1015,NH228437,,M082;
MT187,Sgurr Fhuaran - Sgurr nan Saighead,,,,929,NG974177,,M070;
MT055,Sgurr Fiona (An Teallach) - Corrag Bhuidhe,,,,1040,NH065833,,M073;
MT059,Sgurr Fiona (An Teallach) - Lord Berkeley's Seat,,,,1030,NH064835,,M073;
MT151,Sgurr Fiona (An Teallach) - Sail Liath,,,,954,NH071824,,M073;
MT069,Sgurr Fiona (An Teallach) - Sgurr Creag an Eich,,,,1017,NH055838,,M073;
MT141,Sgurr Fiona (An Teallach) - Stob Cadha Gobhlach,,,,960,NH068825,,M073;
MT135,Sgurr Mor - Carn na Criche,,,,961,NH196725,,M043;
MT115,Sgurr Mor - Meall nam Peithirean,,,,974,NH207708,,M043;M215;
MT164,Sgurr na Banachdich - Central Top,,,,942,NG441223,,M190;
MT197,Sgurr na Banachdich - Sgurr Thormaid,,,,926,NG441226,,M190;
MT095,Sgurr na Ciste Duibhe - Sgurr nan Spainteach,,,,990,NG991150,,M105;
MT028,Sgurr na Lapaich - Sgurr nan Clachan Geala,,,,1095,NH161342,,M024;
MT165,Sgurr na Sgine NW Top,,,,942,NG943115,,M223;
MT226,Sgurr nan Ceathreamhnan - Stob Coire na Cloiche,,,,915,NH075227,,M022;
MT212,Sgurr nan Ceathreamhnan - Stob Fraoch Choire,,,,918,NH052253,,M022;
MT035,Sgurr nan Ceathreamhnan - Stuc Bheag,,,,1075,NH053237,,M022;
MT053,Sgurr nan Ceathreamhnan - Stuc Mor,,,,1041,NH053242,,M022;
MT012,Sgurr nan Ceathreamhnan West Top,,,,1143,NH052228,,M022;
MT087,Sgurr nan Conbhairean - Creag a'Chaorainn,,,,998,NH137131,,M044;
MT082,Sgurr nan Conbhairean - Drochaid an Tuill Easaich,,,,1001,NH120134,,M044;
MT182,Slioch - Sgurr an Tuill Bhain,,,,934,NH018688,,M170;
MT100,Spidean a'Choire Leith (Liathach) - Stob a'Coire Liath Mhor [1933: Bidean Toll a'Mhuic],,,,983,NG932581,,M075;
MT225,Spidean a'Choire Leith (Liathach) - Stuc a'Choire Dhuibh Bhig,,,,915,NG942582,,M075;
MT110,Spidean Coire nan Clach (Beinn Eighe) - Coinneach Mhor,,,,976,NG944600,,M150;M276;
MT106,Spidean Coire nan Clach (Beinn Eighe) - Sail Mhor,,,,980,NG938605,,M150;M276;
MT120,Spidean Coire nan Clach (Beinn Eighe) - Sgurr Ban,,,,970,NG974600,,M150;
MT132,Spidean Coire nan Clach (Beinn Eighe) - Sgurr nan Fhir Duibhe,,,,963,NG981600,,M150;
MT129,Stob Binnein - Meall na Dige,,,,966,NN450225,,M018;
MT039,Stob Binnein - Stob Coire an Lochain,,,,1068,NN438220,,M018;
MT024,Stob Choire Claurigh - Stob a'Choire Leith,,,,1105,NN256736,,M015;
MT015,Stob Choire Claurigh - Stob Coire na Ceannain,,,,1123,NN267745,,M015;
MT144,Stob Choire Claurigh - Stob Coire na Gaibhre,,,,958,NN261757,,M015;
MT076,Stob Coire an Laoigh - Beinn na Socaich,,,,1007,NN236734,,M038;
MT023,Stob Coire an Laoigh - Caisteal,,,,1106,NN246729,,M015;M038;
MT034,Stob Coire an Laoigh - Stob Coire Cath na Sine,,,,1079,NN252730,,M015;M038;
MT033,Stob Coire an Laoigh - Stob Coire Easain,,,,1080,NN234727,,M038;
MT154,Stob Coire Sgreamhach - Beinn Fhada [Stob Coire Sgreamhach East Top],,,,952,NN159540,,M065;
MT183,Stob Coire Sgreamhach - Beinn Fhada NE Top [Beinn Fhada],,,,931,NN164543,,M065;
MT143,Stob Coire Sgriodain South Top,,,,958,NN359738,,M174;
MT128,Stob Diamh - Sron An Isean,,,,966,NN099311,,M143;
MT105,Stob Diamh - Stob Garbh,,,,980,NN095302,,M143;
MT097,Stob Ghabhar - Sron a'Ghearrain,,,,990,NN221457,,M055;
MT169,Stob Ghabhar - Stob a'Bhruaich Leith,,,,941,NN208459,,M055;
MT092,Stob Poite Coire Ardair - Sron Coire a'Chriochairein,,,,993,NN447899,,M076;
MT194,Stuchd an Lochain - Sron Chona Choirein,,,,927,NN493445,,M197;
MT211,The Saddle - Sgurr Leac nan Each,,,,919,NG917133,,M121;
MT133,The Saddle - Sgurr na Forcan,,,,963,NG940130,,M121;
MT172,The Saddle - Spidean Dhomhuill Bhric [1891: Sgurr na Creige],,,,939,NG922129,,M121;
MT155,Toll Creagach West Top,,,,951,NH177275,,M077;
MT209,Tolmount - Crow Craigies,,,,920,NO222798,,M202;
MT047,Tom a'Choinich - An Leth-chreag,,,,1051,NH153269,,M041;
MT058,Tom a'Choinich - Tom a'Choinich Beag,,,,1032,NH157273,,M041;
